Sepal Length, Sepal Width, Petal Length, Petal Width, Type, Classification
5.1,3.5,1.4,0.2,Iris-setosa,0
4.9,3,1.4,0.2,Iris-setosa,0
4.7,3.2,1.3,0.2,Iris-setosa,0
4.6,3.1,1.5,0.2,Iris-setosa,0
5,3.6,1.4,0.2,Iris-setosa,0
5.4,3.9,1.7,0.4,Iris-setosa,0
4.6,3.4,1.4,0.3,Iris-setosa,0
5,3.4,1.5,0.2,Iris-setosa,0
4.4,2.9,1.4,0.2,Iris-setosa,0
4.9,3.1,1.5,0.1,Iris-setosa,0
5,2,3.5,1,Iris-versicolor,1
5.9,3,4.2,1.5,Iris-versicolor,1
6,2.2,4,1,Iris-versicolor,1
6.1,2.9,4.7,1.4,Iris-versicolor,1
5.6,2.9,3.6,1.3,Iris-versicolor,1
6.7,3.1,4.4,1.4,Iris-versicolor,1
5.6,3,4.5,1.5,Iris-versicolor,1
5.8,2.7,4.1,1,Iris-versicolor,1
6.2,2.2,4.5,1.5,Iris-versicolor,1
5.6,2.5,3.9,1.1,Iris-versicolor,1
6.1,3,4.9,1.8,Iris-virginica,1
6.4,2.8,5.6,2.1,Iris-virginica,1
7.2,3,5.8,1.6,Iris-virginica,1
7.4,2.8,6.1,1.9,Iris-virginica,1
7.9,3.8,6.4,2,Iris-virginica,1
6.4,2.8,5.6,2.2,Iris-virginica,1
6.3,2.8,5.1,1.5,Iris-virginica,1
6.1,2.6,5.6,1.4,Iris-virginica,1
7.7,3,6.1,2.3,Iris-virginica,1
6.3,3.4,5.6,2.4,Iris-virginica,1
